ID;periodo;ano;duracao.dias;carga.horaria;modalidade;categoria;local.curso;municipio;UF;latitude;longitude;organizadores;nome.curso;foco.curso; participantes;alunos;instrutores;colaboradores;instrutores.origem;programa.curso;lista.participantes;relatorio.descritivo;fotos;origem.informacoes;observacoes
001;03-11/08;1993;9;60;Presencial;Ministrado;Base de Estudos do Pantanal - Passo do Lontra ;Corumbá;MS;-19,576833;-57,019150;CEMAVE-Ibama, UFMS;XIII Curso A Ornitologia na Conservação das Aves Silvestres;Anilhamento;18;15;2;1;Inês de Lima Serrano do Nascimento - Bióloga - CEMAVE-Ibama, Renato Torres Pinheiro - Biólogo - PROAVES/CEMAVE-Ibama;Sim;Sim;Sim;Não;Relatório de Atividades CEMAVE;Durante o curso os participantes ajudaram no combate à incêndios na área
002;19-27/11;1999;9;80;Presencial;Ministrado;Estação Ecológica do Taim;Rio Grande;RS;-32,538828;-52,538712;CEMAVE-Ibama, Universidade Católica de Pelotas - UCPEL;Técnicas de Pesquisa e Conservação em Aves Silvestres;Anilhamento;18;12;2;4;João Luiz Xavier do Nascimento - CEMAVE-Ibama, Maximiliano Pinheiro Cirne - UCPEL;Sim;Sim;Sim;Não;Relatório de Atividades CEMAVE;
003 ;24-27/06;1997;4;34;Presencial;Ministrado;Parque Nacional de Brasília;Brasília;DF;-15,737009;-47,925824;CEMAVE-Ibama, PROAVES - Associação Brasileira para Conservação de Aves;A Ornitologia na Conservação de Aves Silvestres;Anilhamento;24;21;3;;Albano Schluz Neto - CEMAVE-Ibama, Ailton C. de Oliveira - CEMAVE-Ibama, Jussara Macedo Flôres;Sim;Sim;Não;Não;Relatório de Atividades CEMAVE;III Mini-curso
004;06-12/08;1996;7;60;Presencial;Ministrado;Base de Estudos do Pantanal - Passo do Lontra ;Corumbá;MS;-19,576833;-57,019150;CEMAVE-Ibama, UFMS;A Ornitologia e a Conservação de Aves Silvestres;Anilhamento;18;14;3;1;Augusto José Piratelli - UFSCAR-Sorocaba, Inês de Lima Serrano Nascimento - CEMAVE-Ibama, Masao Uetanabaro - UFMT;Sim;Sim ;Sim;Não;Relatório de Atividades CEMAVE;
005;09-15/11;2008;7;60;Presencial;Ministrado;Estação Ecológica Serra das Araras;Cáceres;MT;-15,642289;-57,188215;CEMAVE-ICMBio, UFMT, UFT, ESEC Serra das Araras, Anilhas Capri;Introdução ao Anilhamento de Aves Silvestres;Anilhamento;21;15;3;3;Andrei Langeloh Roos - CEMAVE, Raquel Carolina Alves Lacerda - CEMAVE, Fernando Fávaro - CEMAVE;Sim;Sim;Sim;Sim;Rrelatório de Atividades CEMAVE;O relatório final inclui algumas fotos
006;02-13/05;2011;11;100;Presencial;Ministrado; Floresta Nacional de Ipanema - ACADEBIO;Iperó;SP;-23,433340;-47,597183;CEMAVE/COMOB/CGGP;Aves como Bioindicadores para Monitoramento de UCs;Monitoramento;29;18;11;;Manuella Andrade - CEMAVE, Andrei Roos - CEMAVE, Thiago Orsi - PARNA Viruá, Fernando Favaro - PARNA Ilha Grande, Luciano Regalado - FLONA Ipanema, Maria Flavia Nunes - ACADEBIO, Arthur Brandt - COMOB, Elivan Arantes - CEMAVE, Patricia Pereira Serafini - CEMAVE, Augusto José Piratelli - UFSCAR Sorocaba;Sim;Sim;Sim;Sim;Relatório de Atividades CEMAVE;"Primeiro curso oferecido no Programa de Capacitação
 Interna do ICMBio"
007;21-25/01;2019;5;50;Presencial;Ministrado;Reserva Biológica de Guaribas;Mamanguape;PB;-6,742278;-35,142285;CEMAVE e REBIO Guaribas;Curso Básico de Anilhamento de Aves Silvestres;Anilhamento;21;15;6;;Antonio Emanuel B. Alves de Sousa - CEMAVE, Antonio Eduardo Araújo Barbosa - CEMAVE, Diego Mendes Lima - CEMAVE, Elivan Arantes de Souza - CEMAVE, Manuella Andrade de Souza - CEMAVE, Priscilla Prudente do Amaral - CEMAVE;Sim;Sim;Sim;Sim;Relatório de Atividades CEMAVE;
008;06-10/09;1989;5;45;Presencial;Ministrado;Refúgio Biológico de Bela Vista;Foz do Iguaçu;PR;-25,454535;-54,584998;CEMAVE-Ibama, Prefeitura Municipal de Curitiba/Museu de História Natural, Itaipu Binacional/Departamento de Meio Ambiente;I Curso Paranaense de Anilhamento de Aves;Anilhamento;16;13;3;;Inês de Lima serrano do Nascimento - CEMAVE , Paulo de Tarso Zuquim Antas - CEMAVE, Pedro Scherer Neto - Museu de História Natural/Prefeitura Municipal de Curitiba;Sim;Sim;Sim;Não;Relatório de Atividades CEMAVE;Alunos oriundos das seguintes instituições: Sociedae de Pesquisa de Vida Silvestre, Klabin Papel e Celulose e Itaipu Binacional
009;29/01-02/02;1990;5;12;Presencial;Ministrado;Londrina;Londrina;PR;-23,312156;-51,162773;CEMAVE-Ibama e Universidade Estadual de Londrina - UEL;Anilhamento de Aves - Noções Básicas e Aplicações;Anilhamento;22;20;2;;Inês de Lima serrano do Nascimento - CEMAVE, Paulo de Tarso Zuquim Antas - CEMAVE;Sim;Não;Não;Não;Carta nº 103/89-CEMAVE;Mini-curso - supostamente realizado no âmbito do Congresso Brasileiro de Zoologia - Não há relatórios confirmando sua execução, mas tão somente carta de articulação de sua realização
010;16-23/10;1995;8;80;Presencial;Ministrado;Parque Nacional do Itatiaia;Itatiaia;RJ;-22,460599;-44,600490;CEMAVE-Ibama e APROPANI - Associação Pró-Parque Nacinal do Itatiaia;Tópicos de Ornitologia e Conservação de Aves Silvestres;Anilhamento;24;21;3;;João Luiz Xavier do Nascimento - CEMAVE, Élio Gouveia, Márcia Simões Carvalho;Sim;Sim;Sim;Não;Relatório de Atividades CEMAVE;Curso Regional
